Lv0	Lv1	Lv2	Combined	Displayed	Population	Population by Lv0	Date of Data	Notes
奈及利亞	高原州		奈及利亞高原州	奈及利亞高原州	4614862		2022-01-26	
奈及利亞	克里斯河州		奈及利亞克里斯河州	奈及利亞克里斯河州	4247719		2022-01-26	
奈及利亞	阿比亞州		奈及利亞阿比亞州	奈及利亞阿比亞州	4095091		2022-01-26	
奈及利亞	聯邦首都特區		奈及利亞聯邦首都特區	奈及利亞聯邦首都特區	3915766		2022-01-26	
奈及利亞	埃邦伊州		奈及利亞埃邦伊州	奈及利亞埃邦伊州	3834748		2022-01-26	
奈及利亞	約貝州		奈及利亞約貝州	奈及利亞約貝州	3619140		2022-01-26	
奈及利亞	埃基蒂州		奈及利亞埃基蒂州	奈及利亞埃基蒂州	3593498		2022-01-26	
奈及利亞	貢貝州		奈及利亞貢貝州	奈及利亞貢貝州	3578297		2022-01-26	
奈及利亞	夸拉州		奈及利亞夸拉州	奈及利亞夸拉州	3507907		2022-01-26	
奈及利亞	塔拉巴州		奈及利亞塔拉巴州	奈及利亞塔拉巴州	3369411		2022-01-26	
奈及利亞	納薩拉瓦州		奈及利亞納薩拉瓦州	奈及利亞納薩拉瓦州	2772356		2022-01-26	
奈及利亞	巴耶爾薩州		奈及利亞巴耶爾薩州	奈及利亞巴耶爾薩州	2502708	214125234	2022-01-26	
孟加拉國	達卡專區		孟加拉國達卡專區	孟加拉國達卡專區	43418962		2022-01-26	
孟加拉國	吉大港專區		孟加拉國吉大港專區	孟加拉國吉大港專區	33872612		2022-01-26	
孟加拉國	拉傑沙希專區		孟加拉國拉傑沙希專區	孟加拉國拉傑沙希專區	22028991		2022-01-26	
孟加拉國	朗布爾專區		孟加拉國朗布爾專區	孟加拉國朗布爾專區	18814772		2022-01-26	
孟加拉國	庫爾納專區		孟加拉國庫爾納專區	孟加拉國庫爾納專區	18695600		2022-01-26	
孟加拉國	邁門辛專區		孟加拉國邁門辛專區	孟加拉國邁門辛專區	13549990		2022-01-26	
孟加拉國	錫爾赫特專區		孟加拉國錫爾赫特專區	孟加拉國錫爾赫特專區	11810322		2022-01-26	
孟加拉國	巴里薩爾專區		孟加拉國巴里薩爾專區	孟加拉國巴里薩爾專區	9921961	172113210	2022-01-26	
俄羅斯	莫斯科市		俄羅斯莫斯科市	俄羅斯莫斯科市	10133405		2022-01-26	
俄羅斯	莫斯科州		俄羅斯莫斯科州	俄羅斯莫斯科州	6459589		2022-01-26	
俄羅斯	克拉斯諾達爾邊疆區		俄羅斯克拉斯諾達爾邊疆區	俄羅斯克拉斯諾達爾邊疆區	5002134		2022-01-26	
俄羅斯	聖彼得堡市		俄羅斯聖彼得堡市	俄羅斯聖彼得堡市	4550574		2022-01-26	
俄羅斯	斯維爾德洛夫斯克州		俄羅斯斯維爾德洛夫斯克州	俄羅斯斯維爾德洛夫斯克州	4378476		2022-01-26	
俄羅斯	羅斯托夫州		俄羅斯羅斯托夫州	俄羅斯羅斯托夫州	4298249		2022-01-26	
俄羅斯	巴什科爾托斯坦共和國		俄羅斯巴什科爾托斯坦共和國	俄羅斯巴什科爾托斯坦共和國	4005769		2022-01-26	
俄羅斯	韃靼斯坦共和國		俄羅斯韃靼斯坦共和國	俄羅斯韃靼斯坦共和國	3688504		2022-01-26	
俄羅斯	車里雅賓斯克州		俄羅斯車里雅賓斯克州	俄羅斯車里雅賓斯克州	3516803		2022-01-26	
俄羅斯	下諾夫哥羅德州		俄羅斯下諾夫哥羅德州	俄羅斯下諾夫哥羅德州	3439397		2022-01-26	
俄羅斯	秋明州		俄羅斯秋明州	俄羅斯秋明州	3186434		2022-01-26	
俄羅斯	薩馬拉州		俄羅斯薩馬拉州	俄羅斯薩馬拉州	3161934		2022-01-26	
俄羅斯	克拉斯諾亞爾斯克邊疆區		俄羅斯克拉斯諾亞爾斯克邊疆區	俄羅斯克拉斯諾亞爾斯克邊疆區	2894811		2022-01-26	
俄羅斯	科麥羅沃州		俄羅斯科麥羅沃州	俄羅斯科麥羅沃州	2829517		2022-01-26	
俄羅斯	彼爾姆邊疆區		俄羅斯彼爾姆邊疆區	俄羅斯彼爾姆邊疆區	2751711		2022-01-26	
俄羅斯	斯塔夫羅波爾邊疆區		俄羅斯斯塔夫羅波爾邊疆區	俄羅斯斯塔夫羅波爾邊疆區	2669454		2022-01-26	
俄羅斯	伏爾加格勒州		俄羅斯伏爾加格勒州	俄羅斯伏爾加格勒州	2634400		2022-01-26	
俄羅斯	新西伯利亞州		俄羅斯新西伯利亞州	俄羅斯新西伯利亞州	2627595		2022-01-26	
俄羅斯	薩拉托夫州		俄羅斯薩拉托夫州	俄羅斯薩拉托夫州	2604230		2022-01-26	
俄羅斯	阿爾泰邊疆區		俄羅斯阿爾泰邊疆區	俄羅斯阿爾泰邊疆區	2544808		2022-01-26	
俄羅斯	伊爾庫茨克州		俄羅斯伊爾庫茨克州	俄羅斯伊爾庫茨克州	2519704		2022-01-26	
俄羅斯	達吉斯坦共和國		俄羅斯達吉斯坦共和國	俄羅斯達吉斯坦共和國	2514655		2022-01-26	
俄羅斯	沃羅涅日州		俄羅斯沃羅涅日州	俄羅斯沃羅涅日州	2321675		2022-01-26	
俄羅斯	奧倫堡州		俄羅斯奧倫堡州	俄羅斯奧倫堡州	2127209		2022-01-26	
俄羅斯	鄂木斯克州		俄羅斯鄂木斯克州	俄羅斯鄂木斯克州	2029287		2022-01-26	
俄羅斯	濱海邊疆區		俄羅斯濱海邊疆區	俄羅斯濱海邊疆區	2021469		2022-01-26	
俄羅斯	克里米亞共和國		俄羅斯克里米亞共和國	俄羅斯克里米亞共和國	1903707		2021-01-01	
俄羅斯	圖拉州		俄羅斯圖拉州	俄羅斯圖拉州	1635514		2022-01-26	
俄羅斯	列寧格勒州		俄羅斯列寧格勒州	俄羅斯列寧格勒州	1629118		2022-01-26	
俄羅斯	烏德穆爾特共和國		俄羅斯烏德穆爾特共和國	俄羅斯烏德穆爾特共和國	1532604		2022-01-26	
俄羅斯	弗拉基米爾州		俄羅斯弗拉基米爾州	俄羅斯弗拉基米爾州	1487390		2022-01-26	
俄羅斯	別爾哥羅德州		俄羅斯別爾哥羅德州	俄羅斯別爾哥羅德州	1475318		2022-01-26	
俄羅斯	基洛夫州		俄羅斯基洛夫州	俄羅斯基洛夫州	1467421		2022-01-26	
俄羅斯	特維爾州		俄羅斯特維爾州	俄羅斯特維爾州	1436121		2022-01-26	
俄羅斯	奔薩州		俄羅斯奔薩州	俄羅斯奔薩州	1418048		2022-01-26	
俄羅斯	哈巴羅夫斯克邊疆區		俄羅斯哈巴羅夫斯克邊疆區	俄羅斯哈巴羅夫斯克邊疆區	1402070		2022-01-26	
俄羅斯	漢特-曼西自治區		俄羅斯漢特-曼西自治區	俄羅斯漢特-曼西自治區	1398407		2022-01-26	
俄羅斯	烏里揚諾夫斯克州		俄羅斯烏里揚諾夫斯克州	俄羅斯烏里揚諾夫斯克州	1349602		2022-01-26	
俄羅斯	布良斯克州		俄羅斯布良斯克州	俄羅斯布良斯克州	1345825		2022-01-26	
俄羅斯	雅羅斯拉夫爾州		俄羅斯雅羅斯拉夫爾州	俄羅斯雅羅斯拉夫爾州	1334560		2022-01-26	
俄羅斯	阿爾漢格爾斯克州		俄羅斯阿爾漢格爾斯克州	俄羅斯阿爾漢格爾斯克州	1304442		2022-01-26	
俄羅斯	楚瓦什共和國		俄羅斯楚瓦什共和國	俄羅斯楚瓦什共和國	1282203		2022-01-26	
俄羅斯	沃洛格達州		俄羅斯沃洛格達州	俄羅斯沃洛格達州	1239079		2022-01-26	
俄羅斯	庫爾斯克州		俄羅斯庫爾斯克州	俄羅斯庫爾斯克州	1205430		2022-01-26	
俄羅斯	梁贊州		俄羅斯梁贊州	俄羅斯梁贊州	1198421		2022-01-26	
俄羅斯	利佩茨克州		俄羅斯利佩茨克州	俄羅斯利佩茨克州	1184357		2022-01-26	
俄羅斯	坦波夫州		俄羅斯坦波夫州	俄羅斯坦波夫州	1150142		2022-01-26	
俄羅斯	外貝加爾邊疆區		俄羅斯外貝加爾邊疆區	俄羅斯外貝加爾邊疆區	1127600		2022-01-26	
俄羅斯	伊萬諾沃州		俄羅斯伊萬諾沃州	俄羅斯伊萬諾沃州	1120751		2022-01-26	
俄羅斯	車臣共和國		俄羅斯車臣共和國	俄羅斯車臣共和國	1077181		2022-01-26	
